Algorithm,Allocation,Processes,MessageSize,Latency, MinLatency, MaxLatency
Default,core,46,524288,513.04,322.42,660.84
Default,core,46,1048576,972.85,618.05,1287.17
Default,core,48,1,2.93,0.82,4.76
Default,core,48,2,2.91,0.81,4.74
Default,core,48,4,2.92,0.81,4.75
Default,core,48,8,2.89,0.81,4.72
Default,core,48,16,3.04,0.81,4.88
Default,core,48,32,3.25,0.90,5.27
Default,core,48,64,3.52,0.88,5.59
Default,core,48,128,4.50,1.75,6.77
Default,core,48,256,4.56,1.91,6.69
Default,core,48,512,4.80,1.98,7.15
Default,core,48,1024,5.70,2.39,8.42
Default,core,48,2048,7.61,3.64,11.11
Default,core,48,4096,10.46,5.29,15.77
Default,core,48,8192,14.92,7.87,22.02
Default,core,48,16384,21.15,12.05,27.93
Default,core,48,32768,33.87,21.08,46.26
Default,core,48,65536,61.67,39.45,83.48
Default,core,48,131072,131.27,82.61,163.72
Default,core,48,262144,259.37,162.27,327.59
Default,core,48,524288,494.26,313.35,620.42
Default,core,48,1048576,874.17,589.23,1047.70
Default,socket,2,1,0.41,0.16,0.67
Default,socket,2,2,0.40,0.14,0.65
Default,socket,2,4,0.37,0.13,0.62
Default,socket,2,8,0.37,0.12,0.63
Default,socket,2,16,0.36,0.11,0.61
Default,socket,2,32,0.52,0.13,0.91
Default,socket,2,64,0.49,0.11,0.86
Default,socket,2,128,0.73,0.25,1.21
Default,socket,2,256,0.74,0.27,1.22
Default,socket,2,512,0.88,0.29,1.47
Default,socket,2,1024,1.00,0.41,1.59
Default,socket,2,2048,1.32,0.46,2.18
Default,socket,2,4096,2.01,1.05,2.98
Default,socket,2,8192,3.23,1.84,4.62
Default,socket,2,16384,3.58,3.44,3.71
Default,socket,2,32768,5.76,5.52,6.00
Default,socket,2,65536,7.51,7.29,7.73
Default,socket,2,131072,10.90,10.66,11.14
Default,socket,2,262144,17.27,17.12,17.42
Default,socket,2,524288,33.27,33.14,33.40
Default,socket,2,1048576,69.43,69.38,69.48
Default,socket,4,1,0.57,0.35,0.79
Default,socket,4,2,0.55,0.34,0.76
Default,socket,4,4,0.52,0.32,0.72
Default,socket,4,8,0.53,0.34,0.74
Default,socket,4,16,0.53,0.33,0.74
Default,socket,4,32,0.84,0.53,1.09
Default,socket,4,64,0.81,0.51,1.06
Default,socket,4,128,1.08,0.73,1.32
Default,socket,4,256,1.13,0.75,1.39
Default,socket,4,512,1.29,0.80,1.64
Default,socket,4,1024,1.54,0.94,1.98
Default,socket,4,2048,2.43,1.62,3.03
Default,socket,4,4096,3.35,2.16,4.26
Default,socket,4,8192,5.93,4.91,8.07
Default,socket,4,16384,8.52,7.61,9.49
Default,socket,4,32768,13.67,12.87,14.78
Default,socket,4,65536,22.60,21.39,24.42
Default,socket,4,131072,43.40,42.21,45.31
Default,socket,4,262144,81.90,79.46,85.56
