Algorithm,Allocation,Processes,MessageSize,Latency,MinLatency,MaxLatency
BinaryTree,core,44,256,4.87,0.55,6.83
BinaryTree,core,44,512,5.16,0.56,7.24
BinaryTree,core,44,1024,6.20,0.67,8.81
BinaryTree,core,44,2048,7.80,0.79,11.27
BinaryTree,core,44,4096,11.25,1.34,17.09
BinaryTree,core,44,8192,16.86,1.92,26.38
BinaryTree,core,44,16384,33.41,5.65,46.51
BinaryTree,core,44,32768,56.38,9.32,83.55
BinaryTree,core,44,65536,104.05,16.28,161.69
BinaryTree,core,44,131072,230.45,29.96,303.73
BinaryTree,core,44,262144,443.84,55.99,589.52
BinaryTree,core,44,524288,874.84,105.06,1160.40
BinaryTree,core,44,1048576,1717.40,208.97,2256.89
BinaryTree,core,46,1,3.27,0.29,4.83
BinaryTree,core,46,2,3.28,0.29,4.85
BinaryTree,core,46,4,3.26,0.28,4.81
BinaryTree,core,46,8,3.29,0.29,4.85
BinaryTree,core,46,16,3.28,0.29,4.86
BinaryTree,core,46,32,3.76,0.32,5.31
BinaryTree,core,46,64,3.78,0.32,5.29
BinaryTree,core,46,128,5.22,0.53,7.32
BinaryTree,core,46,256,5.09,0.55,7.30
BinaryTree,core,46,512,5.43,0.54,7.89
BinaryTree,core,46,1024,6.50,0.62,9.67
BinaryTree,core,46,2048,8.15,0.78,12.16
BinaryTree,core,46,4096,11.61,1.33,17.08
BinaryTree,core,46,8192,17.60,1.93,26.64
BinaryTree,core,46,16384,34.10,5.69,46.78
BinaryTree,core,46,32768,57.35,9.23,84.30
BinaryTree,core,46,65536,104.98,16.40,161.50
BinaryTree,core,46,131072,230.79,30.14,304.41
BinaryTree,core,46,262144,445.42,55.12,590.13
BinaryTree,core,46,524288,876.44,104.42,1160.33
BinaryTree,core,46,1048576,1725.07,214.78,2269.00
BinaryTree,core,48,1,3.31,0.27,5.09
BinaryTree,core,48,2,3.33,0.30,5.09
BinaryTree,core,48,4,3.31,0.27,5.07
BinaryTree,core,48,8,3.33,0.29,5.10
BinaryTree,core,48,16,3.30,0.27,5.06
BinaryTree,core,48,32,3.77,0.30,5.54
BinaryTree,core,48,64,3.85,0.31,5.52
BinaryTree,core,48,128,5.09,0.50,7.34
BinaryTree,core,48,256,5.13,0.51,7.62
BinaryTree,core,48,512,5.60,0.51,8.54
BinaryTree,core,48,1024,6.58,0.59,10.17
BinaryTree,core,48,2048,8.34,0.77,13.28
BinaryTree,core,48,4096,12.12,1.30,19.66
BinaryTree,core,48,8192,18.58,1.90,31.38
BinaryTree,core,48,16384,35.26,5.91,48.29
BinaryTree,core,48,32768,59.36,9.30,84.44
BinaryTree,core,48,65536,108.91,16.29,165.08
BinaryTree,core,48,131072,238.18,29.84,311.98
BinaryTree,core,48,262144,462.82,55.31,607.35
BinaryTree,core,48,524288,916.47,106.38,1197.32
BinaryTree,core,48,1048576,1795.85,213.44,2340.89
BinaryTree,socket,2,1,0.44,0.17,0.70
BinaryTree,socket,2,2,0.41,0.15,0.66
BinaryTree,socket,2,4,0.39,0.14,0.64
BinaryTree,socket,2,8,0.37,0.13,0.62
BinaryTree,socket,2,16,0.37,0.12,0.62
BinaryTree,socket,2,32,0.53,0.12,0.94
BinaryTree,socket,2,64,0.50,0.13,0.86
BinaryTree,socket,2,128,0.79,0.26,1.32
BinaryTree,socket,2,256,0.81,0.30,1.32
BinaryTree,socket,2,512,0.87,0.28,1.46
BinaryTree,socket,2,1024,1.06,0.47,1.66
BinaryTree,socket,2,2048,1.33,0.48,2.19
BinaryTree,socket,2,4096,2.03,1.08,2.99
BinaryTree,socket,2,8192,3.27,1.90,4.64
BinaryTree,socket,2,16384,3.54,3.39,3.69
BinaryTree,socket,2,32768,5.65,5.41,5.90
BinaryTree,socket,2,65536,7.25,7.01,7.50
BinaryTree,socket,2,131072,10.49,10.25,10.74
BinaryTree,socket,2,262144,17.06,16.90,17.23
BinaryTree,socket,2,524288,32.23,32.06,32.40
BinaryTree,socket,2,1048576,66.12,65.97,66.26
BinaryTree,socket,4,1,0.61,0.38,0.84
BinaryTree,socket,4,2,0.57,0.35,0.79
BinaryTree,socket,4,4,0.56,0.34,0.79
BinaryTree,socket,4,8,0.56,0.34,0.78
BinaryTree,socket,4,16,0.58,0.35,0.80
BinaryTree,socket,4,32,0.75,0.43,1.00
BinaryTree,socket,4,64,0.75,0.43,1.00
BinaryTree,socket,4,128,1.13,0.74,1.39
BinaryTree,socket,4,256,1.16,0.75,1.43
BinaryTree,socket,4,512,1.30,0.79,1.68
BinaryTree,socket,4,1024,1.57,0.95,2.02
BinaryTree,socket,4,2048,2.47,1.62,3.10
