Algorithm,Allocation,Processes,MessageSize,Latency
Pipeline,core,27,2,5.41
Pipeline,core,27,4,6.63
Pipeline,core,27,8,5.39
Pipeline,core,27,16,5.37
Pipeline,core,27,32,6.65
Pipeline,core,27,64,6.68
Pipeline,core,27,128,8.3
Pipeline,core,27,256,8.55
Pipeline,core,27,512,9.06
Pipeline,core,27,1024,10.81
Pipeline,core,27,2048,14.01
Pipeline,core,27,4096,20.52
Pipeline,core,27,8192,31.38
Pipeline,core,27,16384,74.66
Pipeline,core,27,32768,105.74
Pipeline,core,27,65536,167.32
Pipeline,core,27,131072,294.23
Pipeline,core,27,262144,538.18
Pipeline,core,27,524288,1023.88
Pipeline,core,27,1048576,2062.26
Pipeline,core,28,1,5.7
Pipeline,core,28,2,5.71
Pipeline,core,28,4,6.75
Pipeline,core,28,8,5.63
Pipeline,core,28,16,5.63
Pipeline,core,28,32,7.01
Pipeline,core,28,64,7.04
Pipeline,core,28,128,8.66
Pipeline,core,28,256,8.92
Pipeline,core,28,512,9.49
Pipeline,core,28,1024,11.32
Pipeline,core,28,2048,14.67
Pipeline,core,28,4096,21.29
Pipeline,core,28,8192,32.59
Pipeline,core,28,16384,77.09
Pipeline,core,28,32768,108.64
Pipeline,core,28,65536,172.64
Pipeline,core,28,131072,303.12
Pipeline,core,28,262144,553.74
Pipeline,core,28,524288,1051.32
Pipeline,core,28,1048576,2105.96
Pipeline,core,29,1,6.02
Pipeline,core,29,2,7.47
Pipeline,core,29,4,6.08
Pipeline,core,29,8,5.99
Pipeline,core,29,16,5.99
Pipeline,core,29,32,7.34
Pipeline,core,29,64,7.4
Pipeline,core,29,128,9.03
Pipeline,core,29,256,9.35
Pipeline,core,29,512,9.84
Pipeline,core,29,1024,11.79
Pipeline,core,29,2048,15.13
Pipeline,core,29,4096,22.12
Pipeline,core,29,8192,33.86
Pipeline,core,29,16384,80.08
Pipeline,core,29,32768,113.36
Pipeline,core,29,65536,178.89
Pipeline,core,29,131072,313.69
