Algorithm,Allocation,Processes,MessageSize,Latency
Linear_Nb,core,30,65536,72.50
Linear_Nb,core,30,131072,130.59
Linear_Nb,core,30,262144,164.89
Linear_Nb,core,30,524288,229.89
Linear_Nb,core,30,1048576,373.12
Linear_Nb,core,31,1,1.57
Linear_Nb,core,31,2,1.68
Linear_Nb,core,31,4,1.67
Linear_Nb,core,31,8,2.67
Linear_Nb,core,31,16,2.27
Linear_Nb,core,31,32,2.47
Linear_Nb,core,31,64,3.02
Linear_Nb,core,31,128,3.67
Linear_Nb,core,31,256,4.69
Linear_Nb,core,31,512,6.92
Linear_Nb,core,31,1024,10.84
Linear_Nb,core,31,2048,17.94
Linear_Nb,core,31,4096,32.16
Linear_Nb,core,31,8192,58.61
Linear_Nb,core,31,16384,55.28
Linear_Nb,core,31,32768,43.47
Linear_Nb,core,31,65536,59.80
Linear_Nb,core,31,131072,117.96
Linear_Nb,core,31,262144,136.55
Linear_Nb,core,31,524288,213.35
Linear_Nb,core,31,1048576,399.77
Linear_Nb,core,32,1,1.89
Linear_Nb,core,32,2,2.07
Linear_Nb,core,32,4,2.08
Linear_Nb,core,32,8,2.59
Linear_Nb,core,32,16,3.42
Linear_Nb,core,32,32,3.65
Linear_Nb,core,32,64,3.92
Linear_Nb,core,32,128,4.66
Linear_Nb,core,32,256,5.82
Linear_Nb,core,32,512,9.18
Linear_Nb,core,32,1024,11.82
Linear_Nb,core,32,2048,14.78
Linear_Nb,core,32,4096,20.35
Linear_Nb,core,32,8192,61.24
Linear_Nb,core,32,16384,18.09
Linear_Nb,core,32,32768,38.65
Linear_Nb,core,32,65536,90.16
Linear_Nb,core,32,131072,120.01
Linear_Nb,core,32,262144,200.08
Linear_Nb,core,32,524288,252.69
Linear_Nb,core,32,1048576,443.55
Linear_Nb,core,33,1,4.16
Linear_Nb,core,33,2,4.26
Linear_Nb,core,33,4,4.34
Linear_Nb,core,33,8,5.10
Linear_Nb,core,33,16,5.05
Linear_Nb,core,33,32,5.52
Linear_Nb,core,33,64,6.15
Linear_Nb,core,33,128,6.86
Linear_Nb,core,33,256,8.36
Linear_Nb,core,33,512,10.19
Linear_Nb,core,33,1024,12.87
Linear_Nb,core,33,2048,15.85
Linear_Nb,core,33,4096,21.22
Linear_Nb,core,33,8192,62.53
Linear_Nb,core,33,16384,21.42
Linear_Nb,core,33,32768,41.59
Linear_Nb,core,33,65536,90.42
Linear_Nb,core,33,131072,117.88
Linear_Nb,core,33,262144,172.80
Linear_Nb,core,33,524288,285.97
Linear_Nb,core,33,1048576,478.92
Linear_Nb,core,34,1,4.00
Linear_Nb,core,34,2,4.42
Linear_Nb,core,34,4,4.65
Linear_Nb,core,34,8,4.71
Linear_Nb,core,34,16,4.83
Linear_Nb,core,34,32,5.38
Linear_Nb,core,34,64,5.96
Linear_Nb,core,34,128,6.80
Linear_Nb,core,34,256,8.14
Linear_Nb,core,34,512,10.36
Linear_Nb,core,34,1024,13.13
Linear_Nb,core,34,2048,16.30
Linear_Nb,core,34,4096,21.85
Linear_Nb,core,34,8192,61.59
Linear_Nb,core,34,16384,21.55
Linear_Nb,core,34,32768,37.04
Linear_Nb,core,34,65536,87.40
Linear_Nb,core,34,131072,128.55
Linear_Nb,core,34,262144,178.01
Linear_Nb,core,34,524288,268.66
Linear_Nb,core,34,1048576,506.84
Linear_Nb,core,35,1,3.88
Linear_Nb,core,35,2,4.06
Linear_Nb,core,35,4,4.01
Linear_Nb,core,35,8,5.50
Linear_Nb,core,35,16,4.91
Linear_Nb,core,35,32,5.27
Linear_Nb,core,35,64,5.83
Linear_Nb,core,35,128,6.72
