Core_1,Core_2,Message_Size,Latency
1,20,16,0.4
1,20,32,0.57
1,20,64,0.53
1,20,128,0.87
1,20,256,0.96
1,20,512,1.18
1,20,1024,1.36
1,20,2048,1.68
1,20,4096,2.47
1,20,8192,3.75
1,20,16384,5.81
1,20,32768,9.82
1,20,65536,17.8
1,20,131072,33.8
1,20,262144,18.49
1,20,524288,33.6
1,20,1048576,69.28
1,21,1,0.41
1,21,2,0.4
1,21,4,0.4
1,21,8,0.4
1,21,16,0.4
1,21,32,0.6
1,21,64,0.52
1,21,128,0.91
1,21,256,1.01
1,21,512,1.19
1,21,1024,1.37
1,21,2048,1.68
1,21,4096,2.48
1,21,8192,3.75
1,21,16384,5.82
1,21,32768,9.83
1,21,65536,17.79
1,21,131072,33.78
1,21,262144,18.19
1,21,524288,33.6
1,21,1048576,68.24
1,22,1,0.43
1,22,2,0.42
1,22,4,0.41
1,22,8,0.4
1,22,16,0.4
1,22,32,0.57
1,22,64,0.51
1,22,128,0.89
1,22,256,0.96
1,22,512,1.14
1,22,1024,1.35
1,22,2048,1.67
1,22,4096,2.46
1,22,8192,3.72
1,22,16384,5.73
1,22,32768,9.68
1,22,65536,17.54
1,22,131072,33.27
1,22,262144,18.43
1,22,524288,33.2
1,22,1048576,69.42
1,23,1,0.45
1,23,2,0.44
1,23,4,0.43
1,23,8,0.42
1,23,16,0.42
1,23,32,0.57
1,23,64,0.56
1,23,128,1.0
1,23,256,1.08
1,23,512,1.26
1,23,1024,1.47
1,23,2048,1.99
1,23,4096,2.81
1,23,8192,4.33
1,23,16384,7.03
1,23,32768,12.03
1,23,65536,21.8
1,23,131072,41.42
1,23,262144,18.03
1,23,524288,32.98
1,23,1048576,68.51
2,3,1,0.2
2,3,2,0.2
2,3,4,0.2
2,3,8,0.2
2,3,16,0.2
2,3,32,0.25
2,3,64,0.24
2,3,128,0.33
2,3,256,0.37
2,3,512,0.45
2,3,1024,0.54
2,3,2048,0.76
2,3,4096,1.21
2,3,8192,2.06
2,3,16384,3.18
2,3,32768,5.05
2,3,65536,8.63
2,3,131072,15.4
2,3,262144,17.2
2,3,524288,32.28
2,3,1048576,67.91
2,4,1,0.22
2,4,2,0.21
2,4,4,0.2
2,4,8,0.2
2,4,16,0.19
2,4,32,0.23
2,4,64,0.23
2,4,128,0.33
2,4,256,0.37
2,4,512,0.44
2,4,1024,0.54
2,4,2048,0.75
2,4,4096,1.2
2,4,8192,2.02
2,4,16384,3.13
2,4,32768,4.91
2,4,65536,8.36
2,4,131072,14.77
2,4,262144,17.21
2,4,524288,31.88
2,4,1048576,66.26
2,5,1,0.23
2,5,2,0.22
2,5,4,0.21
2,5,8,0.2
2,5,16,0.2
2,5,32,0.24
2,5,64,0.23
2,5,128,0.33
2,5,256,0.36
2,5,512,0.42
2,5,1024,0.54
2,5,2048,0.74
2,5,4096,1.19
2,5,8192,2.03
2,5,16384,3.14
2,5,32768,4.92
2,5,65536,8.28
2,5,131072,14.72
2,5,262144,16.97
2,5,524288,31.83
2,5,1048576,65.45
2,6,1,0.19
2,6,2,0.19
2,6,4,0.19
2,6,8,0.19
2,6,16,0.19
2,6,32,0.24
2,6,64,0.23
2,6,128,0.33
2,6,256,0.36
2,6,512,0.43
2,6,1024,0.54
2,6,2048,0.75
2,6,4096,1.2
2,6,8192,2.02
2,6,16384,3.14
2,6,32768,4.94
2,6,65536,8.34
2,6,131072,14.96
2,6,262144,17.14
2,6,524288,32.28
2,6,1048576,68.48
2,7,1,0.2
2,7,2,0.19
2,7,4,0.19
2,7,8,0.19
2,7,16,0.19
2,7,32,0.23
2,7,64,0.23
2,7,128,0.33
2,7,256,0.36
2,7,512,0.44
2,7,1024,0.54
2,7,2048,0.75
2,7,4096,1.2
2,7,8192,2.02
2,7,16384,3.13
2,7,32768,4.95
2,7,65536,8.35
2,7,131072,14.86
2,7,262144,17.11
2,7,524288,32.19
2,7,1048576,66.92
2,8,1,0.19
2,8,2,0.19
2,8,4,0.19
2,8,8,0.19
2,8,16,0.19
2,8,32,0.23
2,8,64,0.23
2,8,128,0.32
2,8,256,0.37
2,8,512,0.43
2,8,1024,0.54
2,8,2048,0.75
2,8,4096,1.2
2,8,8192,2.03
2,8,16384,3.15
2,8,32768,4.96
2,8,65536,8.37
2,8,131072,14.96
2,8,262144,17.17
2,8,524288,32.53
2,8,1048576,69.64
2,9,1,0.22
2,9,2,0.21
2,9,4,0.2
2,9,8,0.2
2,9,16,0.19
2,9,32,0.23
2,9,64,0.23
2,9,128,0.33
2,9,256,0.37
2,9,512,0.44
2,9,1024,0.54
2,9,2048,0.75
2,9,4096,1.2
2,9,8192,2.03
2,9,16384,3.14
2,9,32768,4.94
2,9,65536,8.3
2,9,131072,14.78
2,9,262144,17.08
2,9,524288,32.09
2,9,1048576,65.99
2,10,1,0.19
2,10,2,0.19
2,10,4,0.19
2,10,8,0.19
2,10,16,0.19
2,10,32,0.23
2,10,64,0.23
2,10,128,0.32
2,10,256,0.37
2,10,512,0.43
2,10,1024,0.54
2,10,2048,0.74
2,10,4096,1.19
2,10,8192,2.01
2,10,16384,3.1
2,10,32768,4.9
2,10,65536,8.24
2,10,131072,14.73
2,10,262144,16.96
2,10,524288,31.88
2,10,1048576,66.84
2,11,1,0.19
2,11,2,0.19
2,11,4,0.19
2,11,8,0.19
2,11,16,0.19
2,11,32,0.23
2,11,64,0.23
2,11,128,0.33
2,11,256,0.37
2,11,512,0.43
2,11,1024,0.54
2,11,2048,0.75
2,11,4096,1.2
2,11,8192,2.04
2,11,16384,3.17
2,11,32768,5.02
2,11,65536,8.54
2,11,131072,15.2
2,11,262144,17.03
2,11,524288,32.11
2,11,1048576,67.19
2,12,1,0.45
2,12,2,0.41
2,12,4,0.41
2,12,8,0.41
2,12,16,0.41
2,12,32,0.56
2,12,64,0.55
2,12,128,0.99
2,12,256,1.06
2,12,512,1.23
2,12,1024,1.46
2,12,2048,1.99
2,12,4096,2.77
2,12,8192,4.43
2,12,16384,7.11
2,12,32768,12.15
2,12,65536,22.24
2,12,131072,42.12
2,12,262144,18.29
2,12,524288,33.55
2,12,1048576,70.01
2,13,1,0.46
2,13,2,0.44
2,13,4,0.43
2,13,8,0.42
2,13,16,0.41
2,13,32,0.56
2,13,64,0.56
2,13,128,0.97
2,13,256,1.11
2,13,512,1.27
2,13,1024,1.47
2,13,2048,1.99
2,13,4096,2.81
2,13,8192,4.35
2,13,16384,7.11
2,13,32768,12.1
2,13,65536,22.19
2,13,131072,42.37
2,13,262144,18.03
2,13,524288,33.71
2,13,1048576,69.87
2,14,1,0.43
2,14,2,0.4
2,14,4,0.4
2,14,8,0.4
2,14,16,0.4
2,14,32,0.56
2,14,64,0.56
2,14,128,0.93
2,14,256,1.03
2,14,512,1.23
2,14,1024,1.47
2,14,2048,1.99
2,14,4096,2.76
2,14,8192,4.34
2,14,16384,7.07
2,14,32768,12.05
2,14,65536,21.9
2,14,131072,41.81
2,14,262144,18.24
2,14,524288,33.36
2,14,1048576,69.33
2,15,1,0.43
2,15,2,0.42
2,15,4,0.42
2,15,8,0.41
2,15,16,0.41
2,15,32,0.62
2,15,64,0.52
2,15,128,0.88
2,15,256,1.0
2,15,512,1.2
2,15,1024,1.36
2,15,2048,1.67
2,15,4096,2.47
2,15,8192,3.75
2,15,16384,5.79
2,15,32768,9.79
2,15,65536,17.74
2,15,131072,33.57
2,15,262144,18.18
2,15,524288,33.43
2,15,1048576,69.82
2,16,1,0.43
2,16,2,0.42
2,16,4,0.41
2,16,8,0.41
2,16,16,0.41
2,16,32,0.61
2,16,64,0.54
2,16,128,0.93
2,16,256,0.99
2,16,512,1.2
2,16,1024,1.36
2,16,2048,1.66
2,16,4096,2.45
2,16,8192,3.72
2,16,16384,5.77
2,16,32768,9.75
2,16,65536,17.66
2,16,131072,33.46
2,16,262144,18.09
2,16,524288,33.2
2,16,1048576,67.88
2,17,1,0.47
2,17,2,0.45
2,17,4,0.43
2,17,8,0.42
2,17,16,0.41
2,17,32,0.56
2,17,64,0.55
2,17,128,0.94
2,17,256,1.05
2,17,512,1.23
2,17,1024,1.45
2,17,2048,1.97
2,17,4096,2.77
2,17,8192,4.3
2,17,16384,7.0
2,17,32768,11.89
2,17,65536,21.76
2,17,131072,40.95
2,17,262144,18.05
2,17,524288,32.57
2,17,1048576,68.78
2,18,1,0.47
2,18,2,0.45
2,18,4,0.44
2,18,8,0.42
2,18,16,0.41
2,18,32,0.56
2,18,64,0.55
2,18,128,0.96
2,18,256,1.05
2,18,512,1.23
2,18,1024,1.46
2,18,2048,1.99
2,18,4096,2.77
2,18,8192,4.35
2,18,16384,7.12
2,18,32768,12.16
2,18,65536,22.25
2,18,131072,42.28
2,18,262144,18.1
2,18,524288,33.21
2,18,1048576,69.06
2,19,1,0.44
2,19,2,0.43
2,19,4,0.42
2,19,8,0.41
2,19,16,0.4
2,19,32,0.56
2,19,64,0.56
2,19,128,1.0
2,19,256,1.09
2,19,512,1.27
2,19,1024,1.47
2,19,2048,1.99
2,19,4096,2.81
2,19,8192,4.36
2,19,16384,7.14
2,19,32768,12.14
2,19,65536,22.21
2,19,131072,42.16
2,19,262144,18.2
2,19,524288,33.36
2,19,1048576,68.34
2,20,1,0.43
2,20,2,0.41
2,20,4,0.4
2,20,8,0.4
2,20,16,0.4
2,20,32,0.57
2,20,64,0.52
2,20,128,0.88
2,20,256,0.98
2,20,512,1.16
2,20,1024,1.36
2,20,2048,1.67
2,20,4096,2.48
